STT,Đạm (N) mg/kg,Lân (P) mg/kg,Kali (K) mg/kg,Thang đánh giá
1,110,35,180,Trung bình đến giàu
2,70,20,110,Trung bình
3,100,35,150,Trung bình đến giàu
4,60,9,130,"Thấp, nghèo"
5,100,25,160,Trung bình đến giàu
6,150,45,180,Trung bình đến giàu
7,110,60,200,Trung bình đến giàu
8,90,27,110,Trung bình đến giàu
9,130,38,200,Rất giàu
10,130,5,80,"Thấp, nghèo"
11,90,40,180,Trung bình đến giàu
12,120,25,170,Trung bình đến giàu
13,85,10,130,Trung bình
14,80,25,120,Trung bình
15,70,18,110,Trung bình
16,85,5,50,"Thấp, nghèo"
17,145,35,190,Trung bình đến giàu
18,100,38,140,Trung bình đến giàu
19,70,15,120,Trung bình
20,130,45,200,Trung bình đến giàu
21,100,20,140,Trung bình
22,70,8,100,"Thấp, nghèo"
23,110,28,160,Trung bình đến giàu
24,90,35,150,Trung bình đến giàu
25,130,28,170,Trung bình đến giàu
26,50,12,110,"Thấp, nghèo"
27,125,12,150,Trung bình đến giàu
28,135,15,160,Trung bình
29,150,45,160,Trung bình đến giàu
30,100,12,140,Trung bình
31,75,10,120,Trung bình
32,95,28,130,Trung bình
33,120,25,170,Trung bình đến giàu
34,150,50,200,Rất giàu
35,105,20,180,Trung bình đến giàu
36,140,45,180,Trung bình đến giàu
37,110,8,130,Trung bình
38,105,25,150,Trung bình đến giàu
39,60,28,130,Trung bình
40,70,12,120,Trung bình
41,95,30,140,Trung bình
42,75,6,80,"Thấp, nghèo"
43,130,25,180,Trung bình đến giàu
44,100,40,170,Trung bình đến giàu
45,90,22,150,Trung bình đến giàu
46,110,35,180,Trung bình đến giàu
47,70,15,120,Trung bình
48,90,35,130,Trung bình đến giàu
49,140,18,190,Trung bình đến giàu
50,80,30,140,Trung bình
51,110,30,160,Trung bình đến giàu
52,140,38,200,Rất giàu
53,100,20,150,Trung bình đến giàu
54,125,28,170,Trung bình đến giàu
55,70,35,160,Trung bình đến giàu
56,95,10,90,Trung bình
57,70,10,100,"Thấp, nghèo"
58,80,40,110,Trung bình đến giàu
59,120,30,180,Trung bình đến giàu
60,80,30,120,Trung bình
61,105,28,150,Trung bình
62,160,50,210,Rất giàu
63,40,20,110,Trung bình
64,90,30,150,Trung bình đến giàu
65,60,15,110,Trung bình
66,80,30,120,Trung bình
67,135,36,190,Trung bình đến giàu
68,80,20,130,Trung bình
69,75,8,30,"Thấp, nghèo"
70,100,35,160,Trung bình đến giàu
71,120,18,130,Trung bình
72,125,22,135,Trung bình đến giàu
73,150,40,160,Trung bình đến giàu
74,80,12,110,"Thấp, nghèo"
75,90,30,150,Trung bình đến giàu
76,60,30,140,Trung bình
77,70,35,120,Trung bình
78,85,15,110,Trung bình
79,100,17,140,Trung bình
80,100,18,140,Trung bình đến giàu
81,90,18,140,Trung bình
82,120,22,140,Trung bình đến giàu
83,120,18,170,Trung bình đến giàu
84,45,10,90,"Thấp, nghèo"
85,90,12,100,Trung bình
86,90,40,150,Trung bình đến giàu
87,60,12,130,"Thấp, nghèo"
